DropoutMixBO,ECI-BO,ECI-BO Bandit
"[11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195 11.10853195
 11.10853195 11.10853195 11.10853195 11.10853195 11.05744076 11.05744076
 11.05744076 11.05744076 11.05744076 11.05744076 11.05744076 11.05744076
 11.05744076 11.05744076]","[10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162 10.78420162
 10.78420162 10.78420162 10.78420162 10.78420162 10.72322655 10.72322655
 10.72322655 10.72322655]","[11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662 11.09933662
 11.09933662 11.09933662 11.09933662 11.09933662  8.36848068  8.36848068
  8.36848068  7.30039978  6.96517134  6.70564842  5.80555153  5.80555153
  5.80555153  5.80555153]"
"[12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505 12.89220505
 12.89220505 12.89220505 12.89220505 12.89220505 12.83199301 12.78037453
 12.70296993 12.66009245 12.59028206 12.59028206 12.5515995  12.48600569
 12.48600569 12.38349628 12.3829772  12.37032423 12.35553865 12.14648657
 12.14648657 11.98198624 11.96083622 11.96083622 11.87024784 11.30324097
 10.76929998 10.76929998 10.76929998 10.4131093  10.39451246 10.39421124
 10.39421124 10.39421124 10.38519282 10.36334996 10.35545936 10.32627826
 10.3115571  10.3115571  10.29523115 10.29523115 10.27632132 10.27632132
 10.27632132 10.27632132 10.27632132  9.82959986  9.82959986  9.81926947
  9.80939364  9.80240326  9.80171051  9.56854815  9.56854815  9.43712068
  9.41263824  9.38211269  9.1140377   9.1140377   9.09241447  9.07474747
  9.07474747  9.06317501  9.06317501  9.06224146  9.06224146  9.00507426
  9.00507426  9.00507426  9.00507426  9.00507426  8.94253297  8.77450747
  8.74339814  8.21173849  7.97975078  7.97148409  7.8985352   7.8646482
  7.81620469  7.72768501  7.72768501  7.72768501  7.72768501  7.72768501
  7.72708048  7.72708048  7.72708048  7.72708048  7.7095107   7.68287252
  7.66737255  7.66737255  7.66737255  7.66737255  7.63372     7.29217023
  7.29217023  7.29217023  7.29021548  7.29021548  7.2518505   7.23960351
  7.12242526  7.10338439  6.86480902  6.86480902  6.86480902  6.83987263
  6.81540631  6.81540631  6.51795043  6.50531229  6.49634985  6.468938
  6.468938    6.41120108  6.27158173  6.26944627  6.26944627  6.26944627
  6.21495904  6.191831    6.17508363  6.17508363  6.16419243  6.16419243
  6.16419243  6.16419243  6.16419243  6.16419243  6.16419243  6.16419243
  6.12358259  6.12358259  6.12358259  6.12358259  6.12358259  6.12358259
  6.06768178  6.06768178  6.06768178  6.04577574  6.04577574  6.04577574
  6.04577574  6.04577574  6.04019521  6.04019521  6.04019521  5.93989829
  5.93989829  5.87224911  5.87224911  5.87224911  5.87224911  5.87224911
  5.87224911  5.87224911  5.87224911  5.87224911  5.87224911  5.87224911
  5.87224911  5.87224911  5.87176751  5.87176751  5.87176751  5.87176751
  5.86488122  5.86488122  5.86488122  5.86488122  5.86488122  5.86488122
  5.8567046   5.8567046   5.85060624  5.85060624  5.84957627  5.84957627
  5.84957627  5.84957627  5.83392333  5.83392333  5.83392333  5.83392333
  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333
  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333
  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333
  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333
  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333  5.83392333
  5.82997578  5.82997578  5.67032701  5.67032701  5.63744797  5.63744797
  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242
  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242
  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242
  5.56796242  5.56796242  5.56796242  5.56796242  5.56796242  5.56062788
  5.56062788  5.28206593  5.28206593  5.28206593  4.99491049  4.93274969
  4.93274969  4.89359962  4.89359962  4.89359962  4.89359962  4.88360475
  4.88360475  4.85055937  4.78912719  4.78912719  4.74481338  4.69076278
  4.64430559  4.64430559  4.64430559  4.6231755   4.6231755   4.6231755
  4.6231755   4.59367239  4.59367239  4.59367239  4.59367239  4.59367239
  4.59367239  4.59367239  4.59367239  4.59367239  4.59367239  4.59367239
  4.59367239  4.59367239  4.59367239  4.59367239  4.59367239  4.59367239
  4.59367239  4.59367239  4.59367239  4.59367239  4.29540215  4.29540215
  4.29540215  4.29540215  4.29540215  4.29540215  4.29540215  4.29540215
  4.23675203  4.20927649  4.20927649  4.18957357  4.18957357  4.17286005
  4.17286005  4.17286005  4.16612794  4.16612794  4.16612794  4.1382885
  4.1382885   4.01387615  4.01184149  4.01184149  4.01184149  3.95340176
  3.92607093  3.91323776  3.91323776  3.88813605  3.88631508  3.88631508
  3.88631508  3.88631508  3.88240409  3.86496501  3.86496501  3.86496501
  3.86496501  3.86496501  3.86496501  3.86306827  3.86306827  3.80162225
  3.80162225  3.80162225  3.80162225  3.78890314  3.78890314  3.77219243
  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243
  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243
  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243
  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243
  3.77219243  3.77219243  3.77219243  3.77219243  3.77219243  3.76730978
  3.76730978  3.76457822  3.76457822  3.76457822  3.76457822  3.76457822
  3.76457822  3.76457822  3.76457822  3.76457822  3.76457822  3.76457822
  3.76457822  3.76457822  3.75259655  3.75259655  3.75259655  3.73779161
  3.73779161  3.73779161  3.73779161  3.73779161  3.73779161  3.73779161
  3.73779161  3.73779161  3.73779161  3.73779161  3.73779161  3.73779161
  3.73779161  3.73779161]","[12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702 12.88726702
 12.88726702 12.88726702 12.88726702 12.88726702 12.79704618 12.62833691
 12.52158298 12.4827508  12.44218922 12.40281382 12.37890253 12.37169514
 12.37169514 12.37169514 12.36377964 12.34175529 12.34175529 12.31356249
 12.24329596 12.23099461 12.23099461 12.23099461 11.99234266 11.95090628
 11.94997978 11.94997978 11.94997978 11.94997978 11.94997978 11.94997978
 11.94997978 11.94997978 11.94716959 11.94716959 11.94716959 11.94641809
 11.94641809 11.94641809 11.92829266 11.92829266 11.92829266 11.87773666
 11.87773666 11.87773666 11.87773666 11.87773666 11.87773666 11.87773666
 11.87773666 11.87773666 11.87773666 11.85439062 11.85318699 11.85318699
 11.52723436 11.4339119  11.41808758 11.41808758 11.41484041 11.41484041
 11.41484041 11.41484041 11.41484041 11.41484041 11.4147275  11.4147275
 11.4147275  11.4147275  11.4147275  11.4147275  11.4147275  11.4147275
 11.4147275  11.4147275  11.4147275  11.4147275  11.4147275  11.4147275
 11.4147275  11.16840458 11.16840458 11.16840458 11.16840458 11.14734869
 11.14734869 11.14558973 11.14558973 11.13549328 11.13549328 11.13549328
 11.13549328 11.01107016 10.95084658 10.95084658 10.95084658 10.94314489
 10.94314489 10.94314489 10.94314489 10.94314489 10.94314489 10.94314489
 10.94314489 10.94314489 10.94314489 10.94314489 10.94314489 10.94314489
 10.94314489 10.93725357 10.93725357 10.93725357 10.93725357 10.93725357
 10.93725357 10.91228151 10.91228151 10.91228151 10.91228151 10.91228151
 10.91228151 10.91228151 10.91228151 10.91228151 10.88810711 10.88810711
 10.88810711 10.88810711 10.88810711 10.61693835  9.95238924  9.92358527
  9.8572947   9.8572947   9.61967831  9.61885428  9.5197773   9.44186692
  9.44186692  9.43454356  9.43454356  9.43454356  9.41452985  9.41452985
  9.41452985  9.41452985  9.41452985  9.41452985  9.41452985  9.41452985
  9.41452985  9.37295771  9.37295771  9.37295771  9.37295771  9.37295771
  9.37295771  9.37295771  9.37295771  9.37295771  9.37295771  9.37295771
  9.37295771  9.37295771  9.37295771  9.37295771  9.35457363  9.35457363
  9.31053743  9.31053743  9.30600224  9.26810837  9.26810837  9.26810837
  9.26810837  9.26810837  9.26810837  9.26810837  9.26810837  9.26810837
  9.26810837  9.26810837  9.26810837  9.26810837  9.26810837  9.26810837
  9.19820137  9.19820137  9.19820137  9.19820137  9.19820137  9.19820137
  9.19820137  9.19820137  9.19820137  9.19820137  9.19820137  9.19820137
  9.19820137  9.19820137  9.19820137  9.07836912  8.91892879  8.91892879
  8.91892879  8.72733209  8.67822649  8.67629433  8.5502162   8.43973436
  8.43973436  8.43973436  8.43973436  8.43973436  8.41406612  8.41362927
  8.41362927  8.41362927  8.36772709  8.36772709  8.36772709  8.36772709
  8.36772709  8.36772709  8.36772709  8.36772709  8.36772709  8.36772709
  8.36772709  8.36772709  8.36772709  8.36772709  8.36772709  8.32456315
  8.32456315  8.32456315  8.32456315  8.32456315  8.32456315  8.31138403
  8.31138403  8.31138403  8.31138403  8.2919821   8.2919821   8.2919821
  8.2919821   8.2919821   8.2919821   8.2919821   8.051526    8.02828619
  8.02828619  8.02828619  8.02828619  8.02828619  8.02828619  8.02828619
  8.02828619  8.02828619  8.02828619  7.91208332  7.91208332  7.91208332
  7.91208332  7.91208332  7.91208332  7.91208332  7.91208332  7.91208332
  7.91208332  7.91208332  7.91208332  7.91208332  7.91208332  7.91208332
  7.91208332  7.91208332  7.87688744  7.87688744  7.87688744  7.86666639
  7.7909884   7.7909884   7.78835063  7.78835063  7.78835063  7.7791846
  7.7791846   7.7791846   7.7791846   7.7791846   7.7791846   7.7791846
  7.76600149  7.76600149  7.76600149  7.76600149  7.75748651  7.48098609
  7.47826033  7.44683838  7.44683838  7.44683838  7.44683838  7.44683838
  7.42295837  7.3631382   7.3631382   7.3631382   7.3631382   7.21311257
  7.21311257  7.17261426  7.17261426  7.17261426  7.17261426  7.17261426
  7.16284699  7.14221523  7.14221523  7.14221523  7.14221523  7.14221523
  7.14221523  7.14221523  6.99054515  6.97431324  6.97431324  6.91117971
  6.91117971  6.56069176  6.54864857  6.54864857  6.54864857  6.54864857
  6.54864857  6.54496891  6.29442089  6.29442089  6.29442089  6.29442089
  6.29163229  6.26357977  6.26357977  6.26357977  6.24209416  6.24209416
  6.22462866  6.19930127  6.19613514  6.19613514  5.93054504  5.93054504
  5.80413542  5.80413542  5.78166335  5.78166335  5.73486702  5.73486702
  5.73486702  5.73486702  5.73486702  5.73486702  5.73486702  5.73486702
  5.71143897  5.71143897  5.70090003  5.59107325  5.59107325  5.59107325
  5.59107325  5.5835788   5.5835788   5.5687959   5.5687959   5.5687959
  5.5687959   5.52002351  5.52002351  5.50361321  5.50361321  5.50361321
  5.48870745  5.48870745  5.48870745  5.47639637  5.47639637  5.47639637
  5.47639637  5.47639637  5.47639637  5.47639637  5.47639637  5.47639637
  5.47639637  5.47639637  5.461691    5.461691    5.44928503  5.44928503
  5.44928503  5.44928503]","[12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464 12.87020464
 11.93520331 11.65556645 11.64934287 11.60592818 11.59717336 11.56453943
 11.50616732 11.423104   11.42025938 11.3686657  11.34012685 11.34012685
 11.32075667 11.32075667 11.27599177 11.26349072 11.26349072 11.21721778
 11.21721778 11.21721778 11.21721778 11.21721778 11.19481874 11.19481874
 11.19481874 11.19481874 11.19481874 11.19481874 11.16444917 11.16444917
 11.16444917 11.16444917 11.16444917 11.16444917 11.16444917 11.15551763
 11.15551763 11.15551763 11.14264235 11.14264235 11.14264235 11.14264235
 11.13163533 11.13163533 11.12153993 11.12153993 11.12153993 11.11659656
 11.09160104 11.09160104 11.09160104 11.09160104 10.29126582 10.29126582
 10.29126582 10.29126582 10.26812067 10.26812067 10.26812067 10.26812067
 10.26544433 10.26544433 10.26543822 10.26543822 10.26543822 10.25869231
  9.99504619  9.99504619  9.97929902  9.97470422  9.97470422  9.97470422
  9.64897215  9.64897215  9.61309063  9.61309063  9.61309063  9.61309063
  9.58970718  9.58838291  9.58838291  9.58838291  9.58838291  9.58838291
  9.56052103  9.56052103  9.56052103  9.56052103  9.56052103  9.52082696
  9.52082696  9.52082696  9.52082696  9.50300794  9.50300794  9.50300794
  9.50300794  9.50300794  9.50300794  9.4862992   9.4862992   9.4862992
  9.4862992   9.4862992   9.4862992   9.4862992   9.4862992   9.4862992
  9.4862992   9.4862992   9.4862992   9.4862992   9.48499753  9.48499753
  9.48499753  9.48499753  9.48499753  9.48499753  9.48499753  9.48499753
  9.26686523  9.26686523  9.26686523  9.26424196  9.25261095  9.25261095
  9.25261095  9.25261095  9.25261095  9.25261095  9.21475027  9.21475027
  9.21475027  9.21475027  9.02271659  8.94683053  8.88387516  8.87649198
  8.84723754  8.84723754  8.84723754  8.84723754  8.84723754  8.84723754
  8.84723754  8.84723754  8.83271804  8.83271804  8.83271804  8.73038602
  8.73038602  8.73038602  8.73038602  8.73038602  8.73038602  8.70411019
  8.70411019  8.68515668  8.52199826  8.52199826  8.51052585  8.51052585
  8.49911828  8.49911828  8.49911828  8.48947725  8.48375521  8.12487469
  8.12487469  8.12487469  8.12487469  8.0715601   8.0715601   8.04753113
  8.04753113  8.01301079  8.01301079  8.01301079  8.01301079  8.01301079
  8.01251104  8.01251104  8.01251104  8.01251104  8.01251104  8.01251104
  8.01251104  8.01251104  8.01251104  8.01251104  8.01251104  8.01251104
  8.01251104  8.01251104  8.01251104  7.97491062  7.97491062  7.97491062
  7.97491062  7.97491062  7.97491062  7.97491062  7.97491062  7.97491062
  7.97491062  7.97491062  7.97491062  7.97491062  7.97491062  7.97491062
  7.97491062  7.97491062  7.97491062  7.95901744  7.84505155  7.81425388
  7.80084264  7.70359237  7.70359237  7.70359237  7.70359237  7.70359237
  7.69794757  7.6876744   7.65962265  7.65962265  7.65962265  7.64825723
  7.63713095  7.63713095  7.63713095  7.63713095  7.63713095  7.63713095
  7.63713095  7.63713095  7.63713095  7.63713095  7.6249584   7.6249584
  7.62134063  7.62134063  7.58419368  7.58419368  7.58419368  7.58419368
  7.57366412  7.55360053  7.55360053  7.47754309  7.4637584   7.4637584
  7.42477338  7.4227772   7.4227772   7.39201558  7.38692377  7.3756314
  7.3756314   7.3756314   7.36286819  7.36286819  7.36286819  7.36286819
  7.36286819  7.36286819  7.36286819  7.36286819  7.36286819  7.36286819
  7.36286819  7.36286819  7.36286819  7.36286819  7.36286819  7.36286819
  7.36286819  7.36286819  7.36286819  7.36286819  7.36286819  7.36286819
  7.36286819  7.36286819  7.36286819  7.22990911  7.22990911  7.22644441
  7.22644441  7.0780669   7.0780669   7.01088245  6.95906408  6.95906408
  6.93732631  6.93550975  6.92156985  6.92156985  6.87422359  6.87422359
  6.87422359  6.85476062  6.85476062  6.85476062  6.68780472  6.68780472
  6.63810818  6.59430444  6.57106493  6.57106493  6.57106493  6.2246568
  6.2246568   6.2246568   5.99695132  5.99695132  5.94158092  5.88242514
  5.87452459  5.87065301  5.87065301  5.87065301  5.84251251  5.84251251
  5.83887513  5.75139267  5.75139267  5.72617218  5.72617218  5.69781904
  5.52902193  5.52902193  5.48294311  5.46961083  5.44253983  5.44253983
  5.4387712   5.4387712   5.4387712   5.4387712   5.30665541  5.26723118
  5.26723118  5.26582937  5.20585666  5.20585666  5.20585666  5.20585666
  5.20585666  5.19197574  5.19197574  5.19197574  5.18381047  5.18381047
  5.16125207  5.16125207  5.16125207  5.16125207  5.16125207  5.15633464
  5.15633464  5.15633464  5.15633464  5.15633464  5.14995856  5.14995856
  5.14995856  5.14995856  5.14995856  5.14995856  5.14995856  5.14995856
  5.14995856  5.14995856  5.14995856  5.14995856  4.98925266  4.98169146
  4.92611587  4.92611587  4.92588813  4.92588813  4.88948839  4.88948839
  4.88948839  4.88948839  4.88948839  4.88948839  4.88948839  4.88948839
  4.88948839  4.88948839  4.88948839  4.88948839  4.86943417  4.86943417
  4.86943417  4.86943417]"
